val_loss,epoch,step,train_loss,train_accuracy,train_f1score,test_loss
0.27731242775917053,0,781,,,,
,0,781,0.44793054461479187,0.8811400532722473,0.8811400532722473,
0.2179979383945465,1,1563,,,,
,1,1563,0.22967752814292908,0.9339000582695007,0.9339000582695007,
0.18201526999473572,2,2345,,,,
,2,2345,0.1788104623556137,0.9483800530433655,0.9483800530433655,
0.18201526999473572,3,2346,,,,
,3,2346,,,,0.1762956976890564
